Attribute,Type,Pattern,Required,Description
GENE_ID,string,^(ENSG\d+|\d+)$,Yes,"Stable Ensembl gene identifier (e.g., ENSG00000214114, ENSG00000121879). String matching ENSG\\d+ or digits"
GENE_SYMBOL,string,^[A-Za-z0-9_\-]+(@)?$,Yes,"HGNC-approved Gene symbol (e.g., MYC, PIK3C)"
HGNC_VERSION,string,^\d{4}-\d{2}-\d{2}$,Yes,"Version of the HGNC used, indicated with the date of the HGNC reference (e.g., 2025-08-01)"
HTAN_PANEL_ID,string,^(HTA([1-9]|1[0-6]))_((EXT)?([0-9]\d*|0000))_([0-9]\d*|0000)$,Yes,Unique identifier for the panel
USER_GENE_NAME,string,,No,Optional user-defined name for the Gene
